用户名,推荐,游戏时长,评论
3140686810,Recommended,5.3 hrs on record (3.6 hrs at review time),good
kazikazi,Recommended,23.1 hrs on record (23.0 hrs at review time),良心3A
只打关键枪,Recommended,6.1 hrs on record (5.6 hrs at review time),i
DRCX,Recommended,366.0 hrs on record (364.8 hrs at review time),好玩！
1303470428,Not Recommended,8.3 hrs on record,太难玩了啊，天天打BOSS
檀墨,Recommended,9.8 hrs on record,除了如果没地图艾米露之外都挺好的
别打，我是你爸,Recommended,27.9 hrs on record,非常好
xeoayopt94,Not Recommended,33.9 hrs on record (31.6 hrs at review time),烂尾游戏，后面两章严重拉低了整体分数
ives4sure,Recommended,50.6 hrs on record (50.0 hrs at review time),好久没有玩得这样畅快了
q,Recommended,7.9 hrs on record (6.0 hrs at review time),就
CTMD,Recommended,4.0 hrs on record,村里第一个大学生，还考的985，很难不支持，希望再接再励，与君共勉
mlskyy !!,Recommended,4.7 hrs on record (3.9 hrs at review time),着急的优秀之作，还欠打磨。
一昂,Recommended,9.1 hrs on record (8.6 hrs at review time),非常棒
Bigraccoon,Recommended,26.4 hrs on record (25.4 hrs at review time),挺好的
褪黑素,Recommended,10.6 hrs on record,好玩
蝉声,Recommended,10.8 hrs on record,好
lltt,Recommended,343.2 hrs on record (341.9 hrs at review time),如果能有以下改变，我想我不会加入宗门了：1、芭蕉扇前摇时间过长，应该 能瞬时发出，或者闪避后发出，想前摇也可以，前摇时间越长，芭蕉扇威力越大2、凤穿花改为一豆就能发出，一豆可以打断敌人进攻，三豆可以击倒敌人3、加入格挡，开头动画里的金箍棒格挡真的很帅，格挡越重，越费体力。4、多一些能主动发出的连招，识破太难了，三周目了还没学会识破，关键时刻，我不希望华丽的招式建立在快要挨打的基础上，应该是我想发出就能发出
69967562,Recommended,14.7 hrs on record (11.8 hrs at review time),GOOD
DST比萌新强一点,Recommended,45.9 hrs on record (45.4 hrs at review time),最近618配了个台式，7800 xt 的16显存太给力了，之前用1060全低画质才能玩，现在终于可以爽玩了
神経の崩壊,Recommended,40.7 hrs on record,《黑神话：悟空》作为国产首部3A级动作游戏，以**顶级美术表现与战斗设计**惊艳登场：基于虚幻5引擎打造的东方奇幻世界，场景细节与粒子特效（如云层、火焰）堪称视觉盛宴，搭配沉浸式配乐，完美还原《西游记》的暗黑美学。战斗系统以**“棍势”资源管理为核心**，融合劈、立、戳三种棍法派生与变身、仙术等机制，操作深度与博弈感兼具，但输入延迟及锁定视角问题影响流畅性。**高难度Boss战设计亮眼**，如赤尻马猴、晦月魔君等兼具演出张力与策略性，但小怪分布失衡与“粪怪”设定（如毒蛇群）破坏节奏。技术层面争议显著：**优化问题突出**，PS5火焰/冰雪场景掉帧频繁，PC低配闪退频发（RTX20系以下需降画质），且空气墙、地图引导缺失导致探索体验割裂。叙事采用碎片化手法，剧情动机薄弱引发两极评价，但结局情感冲击力强。总体而言，作为游戏科学处女作，其以**文化厚度与工业水准树立国产标杆**，虽有关卡设计青涩、优化瑕疵等短板，仍以82分MC均分印证国际竞争力。
烟霞志,Recommended,162.3 hrs on record,好玩爱玩
dio,Recommended,23.5 hrs on record (23.0 hrs at review time),太好玩了。
棋圣丶沙沙寨寨主,Recommended,134.3 hrs on record,好玩爱玩，快出DLC等后续
2785291312,Recommended,33.2 hrs on record (30.9 hrs at review time),好玩
NONONO,Recommended,52.9 hrs on record,9/10推荐通关后找一些解析视频看，才能更好的理解剧情。
huangringring,Recommended,129.4 hrs on record (128.9 hrs at review time),非常好，期待DLC
枕头说它想你,Recommended,73.9 hrs on record (72.3 hrs at review time),这不仅仅是一个游戏，更是一件艺术品。首先，顶级的音乐、顶级的美术，这毋庸置疑。其次我从来没见过哪个游戏的boss战设计的这么多样有趣而且难度适宜，寅虎、杨戬、大圣残躯更是几乎我见过的所有boss设计里的顶峰。以棍法为根基的战斗系统更是把棍子玩出了花来，唯一可能需要加强进步的是差强人意的地图设计和探索反馈，能从游戏里的每一个画面看出这个团队为之付出的心血，希望游戏科学能够在此基础上完善出更多更好的游戏
别TM压力我,Recommended,7.5 hrs on record,牛比
letterFromSilentSea,Not Recommended,57.1 hrs on record,仅仅因为是某种意义上的第一款，就一点缺点都容不得指出，这对于国产3A未来长远的进步是没有任何意义的，只会显得同时自卑又自负。整体而言，这个游戏是吃到了虚幻引擎的技术福利，动画和美术也就是说审美这一块非常优秀，但工作室本身的开发能力明显是不足的，游玩与美术是脱节的，和魂一样一大堆花里胡哨结果就那么几个轮椅好用到通关，但地图设计又完全和魂没法比，整个设计点就没在游戏上，更像是影视界失业大佬们在游戏界再就业的感觉，你说他更偏向互动电影的话他又偏偏搞碎片化叙事……所以可以这么形容，整个游戏就像学霸做了一张高分答卷，都是老师们期待的回答，但就是没有自己的东西，甚至后期还没做完，只是一个传统文化的搬运工，碎片化叙事也掩盖了背后非常平庸的价值观，即便有讽刺也是很烂俗的讽刺。但是对此也很理解，在cn你不可能有什么激进的观点输出……8/10的评分很中肯了只能说，但我不希望以后国产全是这套互动影视+类魂的样板游戏……
船长Z_,Recommended,27.7 hrs on record (27.0 hrs at review time),无敌
Wuduhack,Recommended,4.2 hrs on record,支持！
153948007,Recommended,396.0 hrs on record (395.8 hrs at review time),里程碑
Dai,Recommended,39.7 hrs on record,值。
VIOLET,Recommended,63.3 hrs on record (54.2 hrs at review time),好玩
Bronya Zaychik,Not Recommended,17.0 hrs on record,垃圾
倒霉熊,Recommended,70.7 hrs on record (67.5 hrs at review time),牛逼
Cloudzio,Recommended,315.3 hrs on record,目前300+小时110个小时一番轮回60个小时二三轮回10个小时欣赏隐神图和小曲剩下100多个小时BossRush多是单挑二郎险胜真菌今天哥们终于 无伤齐天杨戬了 ！必须出来炫耀一下哈哈哈哈哈哈哈哈作为我大学时期刷到视频并期待了四年的游戏，我是真心喜欢黑猴通关一周目后，特意升级了豪华版DLC支持游科诚然它有很多不足，比如空气墙，比如植被闪烁，比如正式游戏中未能实现预告片里的很多功能但我也目睹了它在慢慢完善，比如地图引导，比如小曲更新，比如BossRush关键是，游戏本身足够好玩，与boss见招拆招很爽，看网上各种大佬的视频更赏心悦目原著人物和原创角色都塑造得很丰满（除了 “白骨夫人”“爱人”这个设定，我直接地铁老人手机）八戒、六丁六甲、马哥、四妹，都是意难平 唯一的遗憾就是去年工作忙，没拿到预购奖励（第三章拿到已经没啥用了）下一步打算无伤其他Boss血压高了就去四周目玩大圣模式最近还入了一款手柄在考虑脱离键鼠从一周目开始重新受苦 关键是随包带着出差也有机会劈两把了（不一定
1170816913,Recommended,150.8 hrs on record (149.3 hrs at review time),有生之年，伟大无需多言！
2267823469,Recommended,30.9 hrs on record (29.9 hrs at review time),我喜欢里面的场景，真是太惊艳了，昨天特意去杭州看了黑神话悟空艺术展，看到有专门介绍游戏里场景和实地的对比的画册，真是太厉害了，我给黑神话悟空点赞，希望咱们国家有更多这种优秀的3A游戏出来，我特别喜欢荒野大镖客救赎2这个游戏，希望咱们国家有一天也能出一个跟大表哥一样巨大影响力的游戏！谢谢游科！
泰,Recommended,79.8 hrs on record (79.5 hrs at review time),无需多言
Avalon,Not Recommended,39.0 hrs on record,前三章不错，后三章拉跨，最后一章拉，这些就无所谓了，问题是从2024年8月20号到现在都10个月了，没有任何游戏上的补充更新，也没有更新路径图。本身就是一个半成品，不赶紧补充游戏内容，更新更是不痛不痒，简直糊弄人。
2901496940,Recommended,10.9 hrs on record (3.8 hrs at review time),好玩
Dbig666,Recommended,7.6 hrs on record (5.4 hrs at review time),超级喜欢
3794062516,Recommended,46.8 hrs on record,好游戏
log,Recommended,63.9 hrs on record,点赞
别吃呀,Recommended,119.5 hrs on record,伟大无需多言
tao9196933,Recommended,407.2 hrs on record,唯一一个让我玩了超过300小时之后，还有源源不断的探索欲望的3A游戏，个人心目中的最佳游戏，没有之一。黑神话悟空的打斗场面还有游戏对白以及全程的配乐，都让我想起了港产武打片的辉煌时期，打个比方：游玩此游戏的时候，就好像一直在反复品味大话西游等某一部精彩的港产片那种感觉。
此后千年待何如,Recommended,61.5 hrs on record (55.9 hrs at review time),属于是中国国产单机3A里能拿得出手的第一作，但是确实是欠缺打磨，有些地方的空气墙和碰撞体积做得不够好，走着走着就浮空了（四妹和琴琅仙任务那个有箱子的房间，沿着墙壁走就会在墙角浮空）。换句话说自由度和关卡难度做的不太够，可能是我前阵子玩开放世界制作游戏的后遗症吧，好些地方我觉得跳一跳就能上去，或者应该能跳下去的，但是有空气墙，跑图就是要绕圈，有时候会很烦。然后，希望能增加突进技能和清杂能力，多周目之后部分珍玩和酒食的掉落率也提升些，这样在多周目做成就或速通的时候游玩体验会好很多。
Noigla17,Not Recommended,12.6 hrs on record,虽然我继承的是孙悟空的意志而不是他本人，但是孙悟空的器官是要拿的，金箍棒是要取的，战斗套装是要穿的。
睁眼axura,Recommended,71.6 hrs on record,我想要DLC
Kwannn,Recommended,37.9 hrs on record (37.4 hrs at review time),无敌
Daniel,Recommended,127.6 hrs on record,后劲太大了 每次打完一章都得平复下心情
BlackTea,Recommended,46.4 hrs on record (45.2 hrs at review time),打卡
叫我羊sir,Not Recommended,6.0 hrs on record,被虫子恶心到了
朴质,Recommended,22.3 hrs on record,无敌
离线,Recommended,137.2 hrs on record,1
ydy070118,Recommended,6.0 hrs on record (5.4 hrs at review time),太酷啦
675837375,Recommended,51.3 hrs on record (43.4 hrs at review time),没法形容的好
JiyoooFun,Recommended,88.6 hrs on record (78.8 hrs at review time),DLC慢点来行不 断断续续玩了快1年了 刚打到第五章才
huafanx,Recommended,27.1 hrs on record,nb
68598271,Recommended,46.8 hrs on record,雀实好玩，虽然我很菜，但这不是游戏的错
myking,Recommended,39.7 hrs on record (38.7 hrs at review time),中国巅峰代表作之一
吹个泡泡來耍,Recommended,98.0 hrs on record (97.9 hrs at review time),中国自己的3A
无敌洋芋粑,Recommended,34.8 hrs on record,非常棒
记得开心,Recommended,16.7 hrs on record (12.1 hrs at review time),很好
869190149,Recommended,15.8 hrs on record,1
GJHao0701,Recommended,190.9 hrs on record,包推荐的好吧！！！！！！
吓我一跳我释放忍术,Recommended,4.2 hrs on record,111
archerex0,Recommended,32.0 hrs on record (31.1 hrs at review time),先玩的PS5版本，今年换了电脑马上又通了一遍PC版，有地图了更人性化了。
shadow,Recommended,73.1 hrs on record,超级无敌好玩，谋改
最强施压手,Recommended,20.9 hrs on record (18.1 hrs at review time),好玩
1601954177,Recommended,16.6 hrs on record (12.3 hrs at review time),斯巴拉西
2477053541,Recommended,17.2 hrs on record (9.3 hrs at review time),国服顶流
859397309,Recommended,11.6 hrs on record (3.5 hrs at review time),非常推荐，连我这种新手小白都能玩的很入迷
806109763,Recommended,28.5 hrs on record (26.3 hrs at review time),值得游玩
浦饭幽助,Recommended,9.0 hrs on record (6.4 hrs at review time),D3D12！到底怎么搞！
阿方,Recommended,44.2 hrs on record (43.5 hrs at review time),11
yblmike001,Recommended,45.3 hrs on record (42.8 hrs at review time),游戏很棒，如果游戏内能有实时小地图就更好了，跑图跑的想吐。
2322973780,Recommended,62.0 hrs on record (61.4 hrs at review time),好玩
2471762149,Recommended,29.6 hrs on record (29.1 hrs at review time),黑神话的缺点就是死亡惩罚太轻了 以及绝大多数boss在各种法术和技能的加持下显得太过的简单和无趣🐺 此外还有boss的交互设计太少了令人满意的boss太少了 前几章还可以 后边就有些赶工了（或许是等级上来了数值高了后没有挑战性导致的？） 总的来说就是为了照顾绝大多数国内的新手牺牲一定的游戏性了 只能说还得改进一下
盖伦击杀了,Recommended,15.8 hrs on record (5.3 hrs at review time),怎么弹刀 闪避判定有点垃圾
Narcissujsk,Not Recommended,19.5 hrs on record,"剧情差评发售前欺诈,恶评"
chenyong,Recommended,54.4 hrs on record,非常好游戏
1376207329,Recommended,53.4 hrs on record (53.0 hrs at review time),太强了
闲,Recommended,49.5 hrs on record,默认语言是中文！！！！！
2281874201,Recommended,303.4 hrs on record (302.4 hrs at review time),很爱这款游戏，但空气墙确实是个问题。场景妖怪太少，应该有格挡动作，还可以在细分在丰富故事情节内容。祝愿越来越好。
斩切,Recommended,83.2 hrs on record,好玩
704423421,Recommended,20.6 hrs on record (19.7 hrs at review time),喜欢
熊岛先生。,Recommended,48.5 hrs on record,武斗非常精彩，各种变化神通都十分有趣，棍式这个涉及也挺好玩，你感觉你真正是在玩齐天大圣。但是我觉得黑神话更高的地方在于它的故事，每一章节的每个角色，每句台词，每个作为，都有背后深层次的逻辑。让人打完了一整天之后还想去搜搜它的详细剧情，文案也是非常精彩！黑神话出DLC！！！加油冲冲冲！！！
拉完不擦屁股,Recommended,24.1 hrs on record (18.4 hrs at review time),非常的好玩
2476782989,Recommended,43.9 hrs on record,刺激 好玩
不知道,Recommended,20.1 hrs on record,好玩，但难度太大
wangxiaohui73,Recommended,311.7 hrs on record (308.9 hrs at review time),很好玩，可以一直玩，探索各种技巧
1478740070,Recommended,13.9 hrs on record (8.3 hrs at review time),aile
镜中繁华,Recommended,197.4 hrs on record,好玩！好玩！好玩！
Y&J,Recommended,60.9 hrs on record (59.4 hrs at review time),支持
Knight,Recommended,70.3 hrs on record,好玩，爱玩
皇皇者华,Recommended,17.4 hrs on record (14.9 hrs at review time),天命不可违，但是规则就是用来打破的
晨光的枪,Recommended,15.1 hrs on record,《黑神话：悟空》在画面上的表现堪称惊艳，UE5 引擎的强大性能在游戏中发挥得淋漓尽致。从踏入游戏的那一刻起，玩家便仿佛置身于一个真实的东方神话世界。​游戏中的场景建模精细入微，每一处细节都处理得恰到好处。黑风山中，树木的纹理清晰可见，仿佛能触摸到岁月留下的痕迹；岩石上的青苔，绿意盎然，为整个场景增添了生机与真实感。而水体效果更是令人拍案叫绝，溪流清澈透亮，潭底的石块和青苔清晰倒映在水中，涟漪的动态效果自然而逼真。当角色踏足水面，水波荡漾，那种身临其境的感觉让人难以忘怀。​场景的氛围营造也十分出色，充分展现了东方意境。在泛着灰蓝色雾气的山林中，松、柏、竹若隐若现，宛如一幅写意的水墨画。幽静的山坳里，翠绿的水潭宛如一块温润的碧玉，散发着神秘的气息。登上山顶，初升的太阳将山尖染成粉红，那壮丽的景色让人不禁感叹大自然的鬼斧神工。​战斗演出和动画过场同样精彩绝伦。战斗中的一镜到底设计，让玩家能够全身心地投入到激烈的战斗中，感受战斗的紧张与刺激。而巨型 BOSS 的登场，更是带来了震撼的视觉冲击。建筑、天命人与 BOSS 同屏出现，尽管体积差异巨大，但都保持了极高的建模精度，展现了游戏科学强大的技术实力。​章节之间的前情提要与后记，采用了多种独特的动画风格，如手绘、木偶戏、吉卜力等，讲述了丰富的故事，配上专属的优质 BGM，为玩家带来了一场视觉与听觉的盛宴。这些间章故事的呈现方式在游戏中独树一帜，艺术成分与叙事信息量之大令人赞叹。
哈哈大王,Recommended,97.0 hrs on record (95.8 hrs at review time),好玩
Joker九钺,Recommended,112.3 hrs on record (109.9 hrs at review time),第一次玩3A就被黑猴深深吸引，终于找到了属于中国人的浪漫
小太阳,Recommended,52.1 hrs on record (42.9 hrs at review time),本人目前四十多小时，一周目第五章快打完了。配置是隐星g16，4070，显存8g，全影视级无光追全地图的平均帧率在五十多左右。但开了中等光追就吃不消了，而且此时由于原始帧太低，会出现植被闪烁的情况。下面结合我个人游玩经验简单评价下对这游戏的看法∶优点∶画质好，美术好，融合了很多我们中国传统文化的元素在里面，比如说怪物的外形设计，狼妖、蛇精等等。音乐和配音都是顶级的。有些boss战的演出效果也非常棒，比如打黄眉大王的时候，会有天命人在阁楼上变得很小，被黄眉注视着的场景，感觉自己身处戏中十分渺小，命运为他人掌握；再比如黄风大王开二阶段的时候，黄沙漫天，遮云蔽日。游戏中还有一些boss对打的场景，相当于游戏自带的电子斗蛐蛐，比如石先锋和石敢当对打，我们作为天命人可以坐收渔翁之利。法宝系统也很有意思，四个法宝分别针对四个章节的boss起到克制效果，而且和原著也很贴合。缺点∶这游戏刚发售的时候有很多人说场景辨识度差，容易找不到路，但现在游戏中已经出了地图，结合我目前的游戏体验来看，这个缺点基本上被解决掉了。对于我来说最大的缺点是某些boss的设计实在是糟糕。第一个，大型boss的交互性很差，除去一些人说的飞行boss锁定视角乱飘的缺点，还有就是由于boss体型的增大，往往意味着他们的位移比天命人的位移远的多，这就导致很容易空棍，打起来非常不爽，特别是第四章蜘蛛精那个死老太婆，扭来扭去的，明明看着能砸到的，一打下去又闪开了。第二个，很多人觉得双boss战的设计很好，但我却觉得很差劲，原因是游科强制性的让你不能先打死其中一个boss，而必须要两个boss的血量交替消耗，可能是为了演出效果考虑。据我目前所知，严格来说只有第五章有三对双boss战设计（电子斗蛐蛐不算），后两对都存在我上面说的问题。按照正常的逻辑来说，有两个boss，我们肯定想的是先打死其中一个吧，但游科偏不让你这么做，你打掉第一个boss一定血量后，视角会自动锁定到第二个boss身上，而且会通过某种手段让你无法再打到第一个boss，除非你打掉第二个boss一些血量。比如云里雾雾里云，当你打掉其中一个一部分血后，它就会进入隐身，换第二个上，直到你把第二个打掉一定血。掀烘兴，兴烘掀就更离谱了，当你打掉其中一个boss一定血自动切换锁定后，如果你说我非要犟我非要先打死这一个，那么你有可能会触发打死一个boss后无法对第二个boss造成伤害的bug，而且这个bug到现在也没修复。此外，游戏的第五章存在比较严重的换皮怪现象，有赶工的嫌疑。
窗后寒月,Recommended,92.9 hrs on record,好！太他妈好了！！！
二榔头,Recommended,9.5 hrs on record,不买不是中国人，请转发相亲相爱一家人。❤❤❤
LiONeF,Recommended,33.3 hrs on record,无言独上西楼
15554696886,Recommended,26.8 hrs on record (25.6 hrs at review time),好玩
3089070027,Recommended,10.3 hrs on record (6.6 hrs at review time),好玩
LucasKpo,Recommended,54.6 hrs on record,好！
灰,Recommended,86.2 hrs on record (85.8 hrs at review time),HW
1448545793,Recommended,110.7 hrs on record,国产游戏第一人
一锅油馍头,Recommended,493.7 hrs on record (492.8 hrs at review time),真的很好玩。剧情和动作都非常在线。BOSS的打斗感也很爽！一款很好玩的游戏！！！
清欢,Recommended,19.2 hrs on record (18.7 hrs at review time),好玩
艾格麦伦小瓜蛋,Recommended,20.6 hrs on record (19.1 hrs at review time),制作精良，太良心了
日你哥,Recommended,46.1 hrs on record,无敌
1965640256,Recommended,23.6 hrs on record (19.5 hrs at review time),好玩
WISH,Recommended,37.0 hrs on record (32.5 hrs at review time),庸医啊！我难受了许多！庸医啊！我难受了许多！庸医啊！我难受了许多！庸医啊！我难受了许多！庸医啊！我难受了许多！庸医啊！我难受了许多！庸医啊！我难受了许多！庸医啊！我难受了许多！庸医啊！我难受了许多！庸医啊！我难受了许多！庸医啊！我难受了许多！我要救四妹！！！！！！我要救四妹！！！！！！我要救四妹！！！！！！我要救四妹！！！！！！我要救四妹！！！！！！我要救四妹！！！！！！我要救四妹！！！！！！我要救四妹！！！！！！我要救四妹！！！！！！我要救四妹！！！！！！我要救四妹！！！！！！我要救四妹！！！！！！
哆啦A梦,Recommended,11.5 hrs on record (10.5 hrs at review time),很棒
YuMy,Recommended,39.7 hrs on record (38.4 hrs at review time),感觉非常好玩
hewenbin126,Recommended,123.4 hrs on record,爽 好看
不是隔壁的老王,Recommended,35.4 hrs on record,体验感很好，打击感，剧情内容很容易代入其中。小时候的一声：妖怪哪里跑！到现在的：每个人都有苦衷。（杂毛鹤纯畜生）
Elbbub_,Recommended,120.4 hrs on record (113.5 hrs at review time),好玩
米线线,Recommended,107.7 hrs on record (107.0 hrs at review time),爽
船长请开始冒险,Recommended,23.2 hrs on record (21.0 hrs at review time),手速一般的，前期算是被虐，后期天赋点起来就能体验大圣归来的感觉，国产游戏加油，哈哈！
161651458,Recommended,15.5 hrs on record (10.8 hrs at review time),HAOWANWUXUDUOYAN
菜鸟19号,Recommended,90.7 hrs on record (89.3 hrs at review time),好玩
JERRY,Recommended,6.8 hrs on record (5.9 hrs at review time),帅
JO太郎-皓,Recommended,71.2 hrs on record,第一个玩的3a游戏，也是唯一个全成就的游戏，希望以后中国的游戏能越做越好
逆风,Recommended,83.8 hrs on record,非常棒！DLC加油啊！
yang,Recommended,20.6 hrs on record (18.4 hrs at review time),好玩
50823500,Recommended,9.8 hrs on record (4.6 hrs at review time),支持国产
小钢琴,Recommended,73.1 hrs on record (70.8 hrs at review time),第九艺术中的顶级美术
2182743582,Recommended,46.8 hrs on record (36.0 hrs at review time),美味的蟹堡
3443125320,Recommended,5.6 hrs on record (3.5 hrs at review time),好
danger_rover,Not Recommended,1.3 hrs on record,不要被那些无脑粉骗了，这个游戏问题很多：1.没有小地图，地图到处都是空气墙，第一次玩很容易找不到方向2.制作组没有做格挡系统，一个基本的游戏连TM格挡都没有，这不是搞笑吗3.闪避按键前后摇太长了，棍法硬直长还不好取消，经常被击飞，这点建议制作组去学习一下隔壁的卡普空吧，做的太差了4.基本没有什么剧情5.前期指引还是太少了6.默认按键分布非常不合理，Ctrl是跳跃键，我真是笑了
DE-风泽,Recommended,5.5 hrs on record (4.1 hrs at review time),高考后终于玩上了
1477930822,Recommended,46.6 hrs on record (38.2 hrs at review time),好玩就是有点难
123,Recommended,18.5 hrs on record (6.5 hrs at review time),好玩
搞糕膏,Recommended,8.7 hrs on record (5.1 hrs at review time),好玩爱玩
1835589236,Recommended,24.2 hrs on record (7.9 hrs at review time),非常好玩
309366832,Recommended,133.2 hrs on record,非常精美
czy605x,Recommended,31.4 hrs on record,haoi
